Address,Price,Radius,Beds,Bath
"Erindale Way, 2270",333237,39,4,1
"Glenwood Road, 675",469622,47,2,1
"Cleaver Alley, 9377",338308,22,5,1
"Spruce Grove, 8668",328627,3,2,2
"Shepherds  Lane, 460",246241,83,4,3
"Bermondsey    Tunnel, 9127",349821,29,3,1
"Abbotswell  Crossroad, 6692",145977,15,3,3
"Bempton   Tunnel, 1019",237923,25,2,3
"Elizabeth  Route, 103",213237,43,5,3
"Carpenter Road, 4964",339215,68,1,2
"Black Swan  Road, 9743",469282,32,1,2
"Blomfield  Street, 4059",444234,74,3,3
"Earl Rise Drive, 185",311802,36,1,2
"Cable    Lane, 3035",436223,69,3,1
"Tisbury  Vale, 5705",265082,34,3,1
"Blenkarne  Vale, 4858",464922,16,3,2
"Wakley   Way, 4866",363750,37,5,2
"Pine Avenue, 610",193962,0,5,3
"Berriman  Rue, 735",333481,65,1,3
"Blanchard  Crossroad, 3981",227344,10,5,2
"Bush  Hill, 6597",138162,71,5,3
"Linden Walk, 1611",193555,61,5,3
"Longman   Avenue, 1581",206079,50,1,1
"Archery  Grove, 2921",281564,36,5,1
"Camden  Alley, 3031",175113,0,1,1
"Sherwood  Route, 1240",178122,91,1,3
"Spruce Lane, 3109",65427,25,5,1
"Cato   Tunnel, 473",316902,68,2,2
"Aylward   Route, 6812",208980,9,4,2
"Aspen Crossroad, 410",323394,68,3,3
"Ernest  Road, 622",317560,3,2,2
"Vine  Drive, 4803",96784,96,5,2
"Aspen Tunnel, 6848",194480,86,5,3
"Dunsley  Grove, 9313",417049,48,2,1
"Coborn  Tunnel, 4267",308417,40,3,1
"Hamilton  Drive, 9984",344311,96,4,2
"Chalcot  Street, 2493",110068,81,1,3
"Victorian  Route, 2865",419494,61,5,1
"Ampton  Vale, 7788",296690,0,3,2
"Buttonwood Road, 5296",299845,22,2,2
"Apostle  Rue, 6670",456155,14,2,2
"Chartham  Rue, 6821",351167,20,2,2
"Ellerman   Vale, 7531",405231,65,1,2
"South Street, 1059",479937,28,1,3
"Coal Wharf  Pass, 5782",314914,85,2,1
"Beatty  Way, 9184",264389,71,3,2
"Queen Caroline   Alley, 8788",408207,23,5,3
"Ellerman   Walk, 7657",307550,8,1,2
"Vintners  Hill, 9470",438287,3,5,1
"Church Alley, 806",207473,0,1,1
"Birkenhead   Crossroad, 3130",471100,71,2,2
"Berriman  Street, 1594",72422,18,5,1
"Lincoln Walk, 164",398938,20,5,1
"Bishop   Drive, 6135",360306,45,2,2
"Chambers  Walk, 4460",149997,87,3,2
"Lincoln Grove, 6365",216380,76,1,2
"Buttonwood Walk, 8129",431827,9,5,1
"Vincent  Alley, 5745",409570,20,1,2
"Mariner   Rue, 2462",166156,0,5,1
"Camelot   Pass, 8275",189355,32,5,1
"Bury  Route, 4057",251019,90,5,3
"Coley  Walk, 8409",213126,39,3,3
"Clissold  Crossroad, 4231",349637,51,5,1
"Ely  Route, 1116",389048,9,2,3
"King Drive, 5388",395931,1,1,3
"Blue Anchor  Vale, 3523",185710,18,4,3
"Kimberley  Route, 8955",326255,45,3,3
"Woodland Route, 6437",415892,91,5,2
"King Tunnel, 6932",416188,64,5,1
"Bempton   Boulevard, 5937",219734,44,4,1
"Glenwood Alley, 3643",198369,19,2,3
"Gavel   Street, 1396",336997,78,2,1
"Hickory   Lane, 9555",97905,9,2,3
"Blandford  Rue, 4878",291571,92,3,1
"Sherlock   Boulevard, 2367",52037,65,4,1
"Buttonwood Tunnel, 4833",374345,52,4,1
"Carltoun   Hill, 1760",437097,60,5,1
"Coalecroft  Way, 2707",208729,44,2,3
"Jackson Crossroad, 7928",171681,82,4,3
"Ellerman   Lane, 6332",106694,56,1,1
"Geary   Avenue, 3857",307527,57,4,3
"Enderby   Boulevard, 6765",191366,69,5,3
"Emden   Drive, 6517",146798,28,2,3
"Andrews  Rue, 4503",362667,98,1,1
"Liverpool  Hill, 7341",67803,78,5,3
"Linden Lane, 7803",441572,66,1,1
"Charterhouse  Alley, 9561",110652,92,1,1
"Caxton  Drive, 9107",174805,78,2,1
"Cephas  Lane, 8773",316770,56,4,2
"Camden  Drive, 2746",459909,86,5,2
"Lexington Crossroad, 3449",331427,27,4,3
"Castle Avenue, 5600",76990,93,5,3
"Parkgate  Walk, 7621",50191,66,3,2
"Callcott   Lane, 2773",93006,39,5,3
"Sheffield Rue, 2239",76150,28,4,3
"Arlington  Hill, 6519",276224,71,2,1
"Thorndike   Boulevard, 5328",334995,71,4,1
"Aylward   Avenue, 9104",140771,32,1,1
"Bliss  Alley, 5298",446548,76,1,2
"Rail Boulevard, 19",343685,16,5,2
"Bales  Alley, 4977",477986,20,1,2
"Carlton  Pass, 4622",355743,11,3,1
"Garfield Boulevard, 8563",481179,63,4,1
"Vine  Vale, 6214",476026,33,5,2
"Wake  Hill, 9805",301158,88,4,3
"Baynes  Grove, 2506",103585,93,4,2
"Kingly  Alley, 2018",343293,45,2,2
"Heritage Vale, 6944",284999,13,2,3
"King Crossroad, 44",443534,36,5,2
"Clavell   Avenue, 1213",153251,83,1,3
"Adderley   Way, 8390",365745,10,4,1
"Coborn  Grove, 2950",444029,46,5,3
"Camdenhurst   Tunnel, 360",386911,44,1,2
"Arundel   Tunnel, 2446",305480,74,4,1
"Carlton  Alley, 4223",330933,15,5,1
"Fair Crossroad, 8205",64204,55,3,3
"Archery  Pass, 9988",458461,89,4,3
"Addison  Alley, 4807",222721,9,2,2
"Bury  Way, 1339",211517,98,1,2
"Longmoore   Crossroad, 2513",189278,10,5,3
"Union  Street, 7170",453491,51,3,1
"Arundel   Tunnel, 6600",432020,13,2,2
"Chambers  Drive, 2405",77655,52,4,1
"Boldero   Rue, 6726",306584,51,3,1
"Chart   Pass, 5981",402952,80,5,3
"Bennett  Pass, 4871",307462,87,2,3
"Gate   Avenue, 5099",431408,78,1,2
"Thoresby   Road, 2481",314188,7,4,1
"Clyde Road, 3264",50149,1,5,3
"Vine  Alley, 646",195510,29,4,1
"Elizabeth  Pass, 4893",342376,47,2,3
"Clavell   Vale, 7225",380416,38,4,3
"Thrale   Boulevard, 1973",379041,31,3,2
"Spruce Vale, 5717",435944,32,1,3
"Jackson Grove, 5242",268089,45,2,3
"Bales  Pass, 9372",321823,30,2,1
"Chantry   Way, 2661",332606,18,4,3
"Buttonwood Crossroad, 5921",492239,3,4,2
"Carnegie   Lane, 7920",118862,23,1,3
"Kilner   Street, 2496",471053,55,1,2
"Ampton  Tunnel, 1272",53899,33,1,3
"Viscount   Boulevard, 2296",109167,32,1,3
"Dyott   Lane, 5018",238880,43,2,2
"Woodland Vale, 4510",82757,19,3,1
"Coalecroft  Road, 6923",336004,64,2,1
"Caldwell   Grove, 9739",363003,75,4,1
"Norfolk  Hill, 216",458237,97,1,1
"King William  Pass, 5159",103435,85,5,3
"Chicksand  Rue, 9357",112684,51,4,1
"Chelsea Manor  Hill, 4959",358695,80,3,3
"Vintners  Avenue, 7241",354664,67,4,1
"Hammersmith  Grove, 1656",151388,41,1,1
"Cam  Vale, 5168",402730,46,2,2
"Carol   Road, 5562",161647,94,5,1
"Blanchard  Avenue, 2212",123980,52,1,3
"Chestnut Rise Walk, 4417",133372,18,3,2
"Blenkarne  Walk, 9139",92955,64,1,1
"Bury  Drive, 9020",202685,20,3,3
"Bayberry Vale, 4289",375827,74,5,2
"Fairholt   Drive, 609",452423,85,2,1
"Camdenhurst   Alley, 5985",177365,84,5,2
"Cam  Way, 1527",185684,87,2,2
"St. Johs  Boulevard, 8250",189789,69,1,3
"Fawn Road, 4612",247992,61,5,2
"Caslon   Crossroad, 2012",405704,67,5,3
"Fairholt   Boulevard, 563",212200,51,1,1
"Bayberry Tunnel, 4225",442825,60,5,2
"Fawn Tunnel, 5836",124702,21,2,3
"Rivervalley Vale, 8429",156001,98,1,2
"Carol   Drive, 5110",139817,33,4,2
"Cloth  Walk, 9501",128375,98,3,1
"Thrale   Road, 5670",53998,8,5,1
"Collins  Way, 6244",254125,65,2,3
"Linden Street, 1249",288301,93,4,3
"Kingly  Lane, 6733",173611,20,4,2
"Vintners  Way, 9917",155170,80,4,1
"Egerton  Tunnel, 2267",457966,21,2,1
"Buttonwood Lane, 7459",354645,47,5,3
"Collingwood  Crossroad, 6445",71852,72,2,2
"Bell    Lane, 7341",443732,27,3,1
"Gavel   Way, 2199",429582,55,3,1
"Bective  Lane, 6229",375150,53,3,3
"Blanchard  Lane, 5976",379886,91,4,3
"Bendmore  Boulevard, 1852",86260,30,5,3
"Anns  Avenue, 317",474487,65,1,2
"Baltic  Avenue, 8334",463782,28,4,2
"Beaconsfield  Road, 3260",136019,79,3,1
"Bliss  Vale, 1419",210535,83,2,1
"Babmaes    Road, 7628",163473,60,1,2
"Coalecroft  Way, 7791",449223,54,4,3
"Baynes  Pass, 8135",333012,97,2,3
"Cato   Crossroad, 8893",276605,49,5,2
"Belgrave  Lane, 5865",419326,78,1,3
"Bolton  Alley, 6673",357467,68,1,2
"Union  Hill, 3040",164414,77,2,2
"Meadow Boulevard, 7277",433091,94,2,3
"Blean   Crossroad, 7485",98797,22,1,1
"Glenwood Street, 665",392147,46,5,3
"Sundown Vale, 9455",181887,22,2,3
"Bloomsbury  Hill, 2493",371122,53,5,3
"Parkgate  Crossroad, 9693",426469,87,1,1
"Clarks  Lane, 5748",256478,92,3,3
"Glenwood Tunnel, 4939",190579,52,4,3
"Coley  Walk, 5582",372496,93,1,3
"Arthur  Avenue, 3948",360153,28,1,1
"Buttonwood Alley, 9236",314818,79,3,2
"Epworth  Route, 8341",187102,88,1,3
"Gate   Pass, 4012",53783,19,2,2
"Pine Route, 1200",474574,94,3,3
"Fieldstone Street, 7695",336579,40,3,1
"Yoakley Hill, 7238",381115,6,1,3
"Jackson Pass, 4120",71273,89,5,3
"Hampden  Drive, 6807",91366,76,4,1
"Castlereagh   Walk, 6449",432124,14,3,3
"Biggerstaff   Alley, 6677",267106,57,5,1
"Westbourne Rue, 2726",110802,12,3,2
"Chesterfield  Pass, 8961",70830,54,5,3
"Westbourne Alley, 5449",340118,82,4,2
"Sheraton   Alley, 8865",463586,59,1,1
"Cardinal Pass, 5648",193998,96,4,2
"Lincoln Route, 9567",336930,33,3,3
"Elf  Pass, 8028",317347,61,1,1
"Thomas  Vale, 8376",387611,17,4,2
"Elba  Route, 2160",288094,27,3,1
"Becher  Boulevard, 7262",311447,23,1,3
"Bingham   Hill, 71",271210,17,3,3
"King Edward  Alley, 3250",488819,1,2,3
"Carolina  Pass, 5697",405985,98,1,3
"Heritage Pass, 1086",76179,14,5,1
"Arbutus   Alley, 132",222395,1,1,1
"Castile  Crossroad, 2587",52282,29,4,1
"East Lane, 5539",168663,22,2,2
"Victorian  Vale, 7898",165088,97,1,2
"Aspen Lane, 4334",60345,48,3,3
"Besson  Boulevard, 5920",499440,8,2,1
"Monroe Boulevard, 7859",357562,39,3,3
"College  Hill, 7944",463465,62,4,3
"Ben   Street, 1274",67375,98,4,3
"Cliff  Crossroad, 9819",415173,20,2,1
"Dyott   Drive, 2649",116200,95,2,3
"Amwell    Road, 5722",313324,70,5,3
"Virgil   Way, 1042",436391,74,1,1
"Cavaye  Grove, 9600",94629,75,2,3
"Andsell    Walk, 8718",131945,9,3,1
"Carnegie   Hill, 7716",351717,53,1,1
"Chestnut Rise Hill, 4534",176040,69,4,2
"Westbourne Crossroad, 9527",257275,25,2,2
"Gautrey  Boulevard, 480",142156,85,4,2
"Camberwell  Rue, 4030",323575,51,4,3
"Arlington  Boulevard, 1882",147037,99,1,3
"Eldon  Avenue, 8190",73595,70,2,1
"Beaconsfield  Lane, 7214",427440,21,4,1
"Fieldstone Pass, 4656",354333,36,4,1
"South Road, 6721",133597,96,5,1
"Lonsdale  Pass, 2450",167385,19,4,2
"Black Swan  Street, 1524",116575,36,1,1
"Cheney  Rue, 7691",183094,94,4,3
"Caldwell   Pass, 5393",335009,29,5,1
"Archery  Vale, 8665",385904,53,2,2
"Elystan  Avenue, 5778",59906,15,3,2
"Victoria Rise Boulevard, 5283",497249,65,4,1
"Chapel  Lane, 8899",57003,18,1,3
"Caedmon  Rue, 6274",453935,77,3,2
"Lexington Tunnel, 4015",422678,83,5,2
"Hamilton  Street, 2737",404735,14,3,1
"Rivervalley Road, 6394",339297,10,5,1
"Capeners  Drive, 7308",211225,3,3,1
"Berry  Drive, 1244",224505,97,1,2
"Dutton   Vale, 1657",417684,85,3,1
"Buttonwood Way, 2273",64957,73,5,2
"Longman   Drive, 2547",349832,55,2,3
"Blackwall  Rue, 4699",413371,44,3,2
"Chartham  Vale, 4005",127623,37,4,2
"Gatonby   Avenue, 8257",163759,53,5,2
"Bury  Avenue, 3250",183133,62,3,1
"Church Crossroad, 7214",240784,83,3,3
"Angela   Rue, 96",231107,93,4,2
"Vintners  Crossroad, 8606",212539,12,2,3
"Cleveland  Grove, 4135",57593,33,2,3
"Linden Vale, 5116",422845,3,2,1
"Geffrye   Rue, 7484",294139,12,4,2
"Bermondsey    Walk, 8502",320971,19,1,3
"Unwin  Grove, 9345",274463,22,2,2
"Thorndike   Boulevard, 4071",275050,26,4,1
"Sheffield Avenue, 5738",453630,37,1,1
"Coal Wharf  Alley, 8186",498409,58,2,3
